Code,EQ,Species,Complexes,Complex2,Chemotype,Host,Year ,State,Municipality,Lat,Lon
F1135,3291,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.43385,-51.759728
F1136,3293,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.432419,-51.761789
F1137,3294,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.432425,-51.760336
F1138,3233,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Guarapuava,-25.56125,-51.580411
F1139,3231,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.561236,-51.583917
F1142,3216,FFSC,FFSC,FFSC,NA,Barley,2012,Parana,Guarapuava,-25.425011,-51.658233
F1143,3295,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.431267,-51.763958
F1147,2517,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.322608,-51.454794
F1148,2516,F. cortaderiae,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.324403,-51.452403
F1162,3238,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Guarapuava,-25.559864,-51.583033
F1163,3237,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.559856,-51.584786
F1164,3233,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Guarapuava,-25.56125,-51.580411
F1165,3231,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.561236,-51.583917
F1166,3229,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.562631,-51.579542
F1170,2473,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Turvo,-24.96285,-51.477758
F1172,3266,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553975,-51.480961
F1173,3267,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.553975,-51.480503
F1175,3269,F. avenaceum,FTSC,FTSC,NA,Wheat,2012,Parana,Guarapuava,-25.553614,-51.481647
F1176,3265,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Guarapuava,-25.553972,-51.481419
F1182,3086,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.324606,-51.455914
F1183,3084,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.325964,-51.453017
F1184,3083,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Guarapuava,-25.325956,-51.455014
F1185,3077,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Pinh‹o,-25.796622,-51.829389
F1186,3074,F. cortaderiae,FGSC,FGSC,NIV,Wheat,2012,Parana,Pinh‹o,-25.798764,-51.830775
F1187,3071,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Pinh‹o,-25.800939,-51.826675
F1199,2470,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Turvo,-24.963689,-51.477231
F1200,2466,F. meridionale,FGSC,FGSC,NIV,Wheat,2012,Parana,Turvo,-24.964525,-51.476703
F1201,3172,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.963706,-51.479222
F1202,3173,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.963711,-51.478161
F1203,3178,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Turvo,-24.962872,-51.478689
F1204,3182,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Turvo,-24.962033,-51.479214
F1205,3140,FIESC ,FIESC,FIESC,NA,Barley,2012,Parana,Cand—i,-25.453072,-51.864614
F1206,3136,F. avenaceum,FTSC,FTSC,NA,Barley,2012,Parana,Cand—i,-25.457792,-51.864469
F1221,3159,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Pinh‹o,-25.691883,-51.683322
F1222,3157,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Pinh‹o,-25.693272,-51.675572
F1224,3147,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Pinh‹o,-25.694597,-51.681614
F1246,3289,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.433556,-51.762522
F1251,3278,F. austroamericanum,FGSC,FGSC,3-ADON,Wheat,2012,Parana,Guarapuava,-25.552894,-51.481186
F1252,3280,F. graminearum,FGSC,FGSC,15-ADON,Wheat,2012,Parana,Guarapuava,-25.552897,-51.480269
F1253,3285,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.434694,-51.763256
F1254,3287,F. meridionale,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.434847,-51.760489
F1271,3186,F. cortaderiae,FGSC,FGSC,NIV,Barley,2012,Parana,Guarapuava,-25.531286,-51.666036
F1272,3187,F. poae,F. poae,F. poae,NA,Barley,2012,Parana,Guarapuava,-25.532042,-51.663608
F1273,3192,F. graminearum,FGSC,FGSC,15-ADON,Barley,2012,Parana,Guarapuava,-25.52785,-51.668194
